read_id	prot_id	prot_begin	prot_end	frame
133	2569	20	52	1
134	1930	678	711	2
135	6406	211	244	0
136	8408	741	774	0
137	1772	72	105	2
138	7568	178	211	2
139	6325	76	109	0
140	7065	470	503	2
141	2733	265	297	1
142	573	171	204	0
143	5279	174	206	1
144	275	608	641	2
145	8351	121	154	0
146	4677	4	37	0
147	132	579	612	2
148	7407	506	539	2
149	9475	621	654	2
150	3060	201	233	1
151	3495	96	128	1
152	727	22	55	2
153	3438	791	823	1
154	9240	194	226	1
155	9286	752	785	2
156	5140	84	117	0
157	4524	69	101	1
158	5848	84	117	2
159	2706	281	314	2
160	2135	56	89	2
161	168	29	62	2
162	9612	264	297	0
163	6949	41	74	0
164	332	33	65	1
165	5504	405	438	2
166	257	315	347	1
167	6925	281	313	1
168	8495	95	127	1
169	4438	148	181	0
170	9261	77	110	0
171	4191	118	151	0
172	5488	751	783	1
173	7457	5	37	1
174	9816	193	226	0
175	3887	293	326	0
176	1873	49	82	0
177	7900	506	539	0
178	7822	511	543	1
179	2196	100	133	2
180	4217	466	499	2
181	5463	802	834	1
182	4087	283	316	0
183	1113	313	346	0
184	3369	50	83	0
185	3120	88	121	2
186	2735	111	144	0
187	7051	89	121	1
188	6564	6	39	0
189	176	442	475	0
190	4208	41	73	1
191	1272	689	722	0
192	9510	323	356	2
193	7751	174	206	1
194	6897	509	542	2
195	3854	679	712	2
196	8890	45	78	0
197	4989	194	226	1
198	5587	895	927	1
199	9976	273	306	0
200	8443	50	83	0
201	3049	836	869	0
202	874	307	340	0
203	8265	607	640	2
204	2272	541	573	1
205	9644	95	128	0
206	9203	418	450	1
207	1756	299	332	2
208	9731	60	93	0
209	4147	185	218	0
210	2554	118	151	0
211	2764	220	253	2
212	8945	203	235	1
213	5506	67	100	0
214	5612	229	261	1
215	6355	484	516	1
216	9614	289	322	0
217	4615	410	443	0
218	9562	132	165	2
219	1745	379	411	1
220	5157	90	122	1
221	8036	47	80	0
222	821	700	732	1
223	4916	82	115	0
224	7297	128	161	2
225	3086	323	356	0
226	3259	152	185	0
227	4430	33	65	1
228	2955	469	502	2
229	3223	269	302	0
230	134	66	99	2
231	6657	77	110	0
232	1585	77	110	2
233	9660	83	116	0
234	7514	291	323	1
235	1577	193	225	1
236	3804	998	1030	1
237	1550	428	461	2
238	2927	16	49	0
239	2023	75	108	0
240	3257	57	90	0
241	1828	672	704	1
242	2614	217	250	0
243	9134	24	57	0
244	7115	743	776	0
245	1711	163	195	1
246	7132	847	879	1
247	1865	57	89	1
248	1681	10	42	1
249	3572	580	613	2
250	3961	489	521	1
251	3657	661	693	1
252	3956	179	212	0
253	4344	535	568	2
254	6980	41	73	1
255	6759	45	77	1
256	6417	69	102	2
257	7952	112	145	2
258	6381	1	33	1
259	1846	57	90	2
260	1976	52	85	2
261	4846	301	334	0
262	6832	429	462	2
263	8725	80	113	2
264	9545	39	72	0
265	2014	106	138	1
266	8051	390	423	2
267	4452	812	845	2
268	3227	350	383	0
269	2016	716	749	0
270	9730	23	55	1
271	600	19	51	1
272	2617	53	85	1
273	2800	497	530	2
274	2760	79	112	0
275	5394	13	46	0
276	9394	280	313	2
277	9015	441	474	0
278	2251	194	227	2
279	1280	279	312	0
280	4789	206	239	0
281	1977	244	277	0
282	6130	260	293	0
283	5022	324	357	2
284	9517	355	388	0
285	5276	139	172	2
286	153	295	328	2
287	8658	633	666	2
288	6542	59	92	2
289	3354	187	219	1
290	911	306	339	0
291	6984	578	611	2
292	1973	44	77	0
293	6392	139	172	0
294	5346	308	341	2
295	1974	135	167	1
296	9808	95	128	0
297	9219	340	373	0
298	7421	204	237	2
299	6394	36	68	1
300	3510	690	723	2
301	8937	161	193	1
302	8822	213	246	2
303	518	363	396	0
304	4924	41	74	2
305	631	103	135	1
306	1554	595	627	1
307	6639	680	713	2
308	8645	424	457	0
309	5150	14	47	0
310	1625	26	59	0
311	3566	304	337	2
312	5535	377	410	2
313	723	294	326	1
314	9801	18	51	2
315	6377	630	662	1
316	1639	182	215	2
317	1132	330	362	1
318	2235	190	223	0
319	2968	406	438	1
320	8661	258	290	1
321	7697	808	841	0
322	6644	5	38	0
323	5926	484	516	1
324	4017	13	45	1
325	3422	827	860	2
326	4064	164	197	0
327	9859	143	176	2
328	4295	622	654	1
329	2544	5	38	2
330	2600	335	368	0
331	8030	139	171	1
332	4479	272	304	1
333	2227	97	129	1
334	3240	139	172	0
335	7156	38	71	0
336	1858	20	53	2
337	9320	102	134	1
338	6599	412	445	2
339	9381	9	41	1
340	3309	132	165	0
341	8414	406	439	0
342	6746	739	772	0
343	3681	57	90	2
344	1944	581	614	2
345	5396	159	191	1
346	2578	205	238	0
347	7909	619	651	1
348	8021	381	413	1
349	1960	191	224	0
350	7920	334	366	1
351	8534	119	152	2
352	6671	670	703	0
353	7763	436	468	1
354	2641	62	95	2
355	3654	57	89	1
356	7859	138	171	0
357	5630	28	61	0
358	3470	51	84	0
359	1406	12	45	0
360	6219	599	631	1
361	867	512	544	1
362	4075	187	220	0
363	9312	54	87	2
364	4054	5	38	0
365	8806	5	38	0
366	8341	296	329	2
367	5389	19	52	0
368	167	423	456	2
369	3135	635	668	2
370	9626	49	81	1
371	9583	22	54	1
372	6485	237	270	0
373	7809	61	94	2
374	5979	84	116	1
375	7087	19	52	0
376	7778	86	118	1
377	1014	795	828	2
378	9108	7	39	1
379	6242	111	144	2
380	8335	119	152	2
381	2551	175	207	1
382	430	123	155	1
383	2762	827	860	0
384	3537	145	178	0
385	7924	103	135	1
386	3963	551	584	0
387	4984	274	307	0
388	8224	693	726	2
389	4065	354	387	0
390	793	657	689	1
391	5511	333	366	0
392	2734	45	78	0
393	8855	80	113	2
394	5334	20	53	0
395	3671	451	484	2
396	454	78	110	1
397	3232	53	86	0
398	237	229	262	0
399	2233	25	58	0
400	8991	62	94	1
401	1436	76	109	0
402	8852	304	337	2
403	1316	425	458	2
404	8190	608	640	1
405	3819	463	496	0
406	7677	13	45	1
407	8083	21	53	1
408	5354	246	278	1
409	7734	57	90	2
410	1018	81	114	2
411	3764	90	122	1
412	9189	23	56	2
413	271	41	74	2
414	2150	134	166	1
415	813	598	630	1
416	2179	104	137	0
417	6120	150	182	1
418	3971	59	92	2
419	5623	665	697	1
420	2376	545	578	0
421	3969	304	337	2
422	3258	415	447	1
423	8169	74	107	2
424	1040	191	224	0
425	7011	224	256	1
426	288	559	592	0
427	1652	206	238	1
428	9443	707	740	0
429	1919	54	86	1
430	1957	48	81	0
431	6799	629	661	1
432	4742	192	224	1
433	2526	181	213	1
434	6688	212	244	1
435	6842	492	525	2
436	6984	228	260	1
437	2161	25	58	2
438	8094	185	217	1
439	1517	96	129	2
440	3169	110	143	2
441	2054	533	566	0
442	8081	66	98	1
443	9768	647	680	2
444	6439	148	181	2
445	4257	695	728	0
446	7966	227	260	0
447	6504	734	766	1
448	1713	404	436	1
449	5115	512	545	0
450	4587	126	158	1
451	8846	354	387	2
452	9279	826	858	1
453	2973	225	258	2
454	5204	360	392	1
455	1157	98	131	2
456	7016	141	173	1
457	4507	431	463	1
458	2234	111	144	2
459	9758	1	34	2
460	3550	365	397	1
461	1273	105	138	2
462	280	33	66	0
463	8204	76	109	0
464	1885	70	103	0
465	1792	435	468	2
466	518	660	693	2
467	206	140	173	2
468	8489	366	399	2
469	791	98	131	2
470	2791	67	100	2
471	7030	149	182	0
472	6899	130	163	0
473	8244	8	41	0
474	1176	36	69	0
475	5116	147	179	1
476	514	133	165	1
477	3127	152	185	0
478	8198	85	117	1
479	5353	450	482	1
480	3835	8	40	1
481	4672	570	603	2
482	7633	335	368	0
483	3742	301	334	0
484	7720	323	356	2
485	5064	22	55	0
486	9729	124	156	1
487	8018	195	228	2
488	2949	71	104	2
489	6056	5	38	0
490	1150	337	370	2
491	2658	16	48	1
492	1807	73	106	0
493	6950	167	200	0
494	3138	204	237	0
495	103	456	488	1
496	3158	360	393	2
497	7856	123	155	1
498	4593	348	381	0
499	7296	560	592	1
500	9939	207	240	0
501	4133	617	649	1
502	5896	845	878	2
503	8814	110	143	2
504	3775	364	397	0
505	7155	151	184	0
506	3193	26	59	0
507	4505	32	65	0
508	9851	133	165	1
509	1842	154	186	1
510	8296	139	171	1
511	4336	374	406	1
512	8038	506	539	2
513	7883	512	545	2
514	6803	266	299	0
515	3654	8	40	1
516	1524	145	177	1
517	2529	290	323	2
518	4708	90	123	2
519	2935	52	85	0
520	5849	17	50	2
521	1605	7	39	1
522	3927	26	59	0
523	9626	39	71	1
524	1912	855	888	2
525	5304	353	385	1
526	4840	369	401	1
527	6556	340	373	2
528	6541	95	128	2
529	6870	6	39	0
530	7574	293	325	1
531	7594	224	256	1
532	844	91	123	1
533	2108	243	276	2
534	5854	244	277	2
535	7579	16	48	1
536	3043	652	684	1
537	737	103	135	1
538	5630	541	573	1
539	1019	8	41	0
540	4008	63	95	1
541	1839	120	153	2
542	7985	224	256	1
543	9826	422	455	0
544	1630	345	377	1
545	7062	71	104	2
546	5116	261	293	1
547	8725	21	53	1
548	6444	115	148	2
549	9901	302	335	0
550	4752	762	795	0
551	9288	615	648	2
552	7898	289	322	2
553	5481	256	289	2
554	7560	141	174	0
555	2453	684	717	0
556	5144	182	214	1
557	6543	101	133	1
558	947	490	522	1
559	5938	59	91	1
560	1325	90	123	0
561	4703	106	139	0
562	9516	356	389	0
563	5943	603	635	1
564	4549	279	312	2
565	4597	68	100	1
566	236	50	83	0
567	4119	862	894	1
568	2897	227	259	1
569	5326	141	174	0
570	7447	322	354	1
571	2535	427	460	2
572	2662	413	446	0
573	6935	224	257	2
574	8825	220	253	0
575	2466	529	561	1
576	5444	348	381	0
577	9536	600	633	2
578	5710	650	683	0
579	8137	232	265	2
580	2693	326	359	0
581	2570	372	405	0
582	1161	94	127	2
583	5585	149	182	0
584	3184	67	100	2
585	9453	212	245	0
586	6579	51	83	1
587	2560	68	100	1
588	2722	596	628	1
589	2453	34	67	0
590	4409	219	252	0
591	2438	294	327	2
592	8307	289	322	2
593	378	6	39	0
594	2977	73	106	2
595	734	204	236	1
596	1828	792	824	1
597	1945	82	115	2
598	2161	100	133	2
599	8135	483	516	2
600	235	228	261	2
601	3880	609	641	1
602	2553	122	155	0
603	9724	734	767	2
604	5776	156	189	0
605	409	15	48	0
606	9415	192	225	2
607	7412	247	280	0
608	9861	160	193	2
609	8508	106	139	2
610	5190	19	52	0
611	9477	552	585	2
612	3119	51	83	1
613	8522	624	657	0
614	4003	441	473	1
615	7519	190	223	0
616	7498	702	734	1
617	3182	96	128	1
618	5437	445	477	1
619	6843	334	366	1
620	5320	12	45	2
621	6457	38	71	2
622	3423	61	93	1
623	3150	231	264	2
624	2994	130	163	2
625	9739	562	595	0
626	9816	43	75	1
627	9540	246	279	2
628	4749	131	163	1
629	5632	51	84	2
630	9862	857	890	2
631	8405	32	64	1
632	971	24	57	2
633	2485	15	47	1
634	9228	500	533	2
635	910	118	151	0
636	13	513	546	2
637	9109	109	142	0
638	1075	104	137	0
639	6805	39	72	0
640	4480	160	193	0
641	2190	141	174	2
642	5992	135	167	1
643	7875	107	139	1
644	9108	128	161	2
645	3928	138	171	0
646	6164	48	81	0
647	5567	322	355	2
648	7371	107	139	1
649	1492	328	361	2
650	586	117	150	2
651	5936	872	905	2
652	8098	517	549	1
653	2321	66	99	0
654	6001	97	130	0
655	4028	19	51	1
656	2131	210	243	0
657	1333	30	62	1
658	2958	247	280	0
659	8559	226	259	0
660	9578	366	398	1
661	2361	266	298	1
662	299	444	477	0
663	5973	154	187	2
664	996	281	314	2
665	9249	89	122	2
666	8612	629	661	1
667	7745	53	86	0
668	541	130	163	2
669	5063	369	402	2
670	6211	747	780	2
671	81	182	215	0
672	7868	86	118	1
673	4168	88	120	1
674	3708	17	50	2
675	5024	157	190	2
676	2309	62	95	0
677	8801	25	57	1
678	8173	62	95	2
679	9278	324	356	1
680	6436	105	138	2
681	7310	470	503	0
682	8159	267	300	0
683	4745	199	232	0
684	4537	267	300	2
685	4969	746	779	0
686	4722	237	269	1
687	1443	105	138	0
688	2451	101	134	0
689	8280	4	37	2
690	3199	178	211	0
691	1858	95	128	2
692	7635	216	249	2
693	7999	18	50	1
694	7083	706	738	1
695	8929	223	255	1
696	5057	12	45	0
697	5592	209	242	2
698	7314	326	359	0
699	9506	75	107	1
700	1153	61	93	1
701	1966	406	439	0
702	8070	50	83	0
703	4605	30	63	0
704	3513	245	277	1
705	3883	195	227	1
706	1918	305	337	1
707	538	180	212	1
708	3021	34	67	2
709	9824	78	110	1
710	3444	37	69	1
711	5634	186	218	1
712	5420	779	812	0
713	6031	11	43	1
714	2855	169	202	0
715	1986	537	570	0
716	4286	263	296	0
717	3872	260	292	1
718	1127	2	34	1
719	9386	613	646	0
720	7339	51	83	1
721	6096	38	70	1
722	8821	97	129	1
723	1885	55	87	1
724	6076	414	447	0
725	5502	265	297	1
726	1874	564	596	1
727	5324	679	712	0
728	5480	92	124	1
729	8817	71	104	2
730	4760	268	301	2
731	5298	730	763	0
732	2054	506	538	1
733	5695	935	967	1
734	7816	741	773	1
735	2743	31	64	0
736	2870	19	52	2
737	6882	420	453	0
738	9590	20	53	2
739	169	189	221	1
740	5254	538	571	2
741	7669	393	426	0
742	1192	237	270	0
743	1114	20	53	0
744	1621	543	576	0
745	3170	418	451	0
746	3717	298	330	1
747	4474	283	316	0
748	3442	10	42	1
749	9310	89	122	0
750	5016	545	578	2
751	1325	4	37	2
752	614	76	109	0
753	2071	93	126	0
754	5938	197	229	1
755	4005	92	125	2
756	1564	331	364	2
757	1063	611	644	0
758	9297	99	132	2
759	5977	238	271	0
760	4648	327	360	0
761	2044	12	45	2
762	5467	94	127	0
763	9142	450	483	2
764	5571	145	177	1
765	8378	49	82	2
766	818	54	86	1
767	6909	194	227	0
768	8024	181	214	2
769	9463	204	237	0
770	9745	489	522	0
771	854	373	406	0
772	3501	127	160	2
773	8811	103	136	2
774	4555	257	289	1
775	3762	461	493	1
776	5657	496	528	1
777	9622	149	181	1
778	4900	378	411	0
779	2931	46	79	0
780	2217	697	730	0
781	3078	28	61	0
782	6728	338	370	1
783	9903	344	377	2
784	3738	14	47	2
785	2621	136	168	1
786	6010	246	279	2
787	8321	86	119	2
788	8594	50	83	2
789	2973	681	714	2
790	8418	44	77	0
791	4231	40	73	2
792	4384	275	307	1
793	5609	744	777	2
794	6540	229	262	2
795	300	327	359	1
796	8211	345	378	2
797	7182	450	483	2
798	5606	702	735	0
799	5925	84	117	2
800	8183	168	200	1
801	1048	361	394	2
802	6056	187	220	0
803	9388	360	393	2
804	4110	522	554	1
805	3465	671	704	2
806	8894	73	105	1
807	6493	2	34	1
808	2947	915	948	0
809	2593	21	54	2
810	3709	66	99	0
811	6494	215	248	2
812	1027	227	259	1
813	2658	65	97	1
814	4381	42	75	2
815	6902	96	129	2
816	7641	6	39	0
817	2260	32	64	1
818	640	609	641	1
819	1848	348	380	1
820	2358	133	166	0
821	1161	65	98	2
822	7513	144	177	0
823	2444	515	547	1
824	1518	320	353	2
825	423	196	229	2
826	8373	144	177	2
827	8425	210	243	2
828	637	641	674	0
829	4116	175	208	2
830	8338	612	645	0
831	2078	52	84	1
832	6399	564	597	0
833	6692	63	95	1
834	3916	116	149	2
835	2983	602	635	0
836	2092	403	436	2
837	7418	371	404	0
838	1787	324	356	1
839	8664	74	107	2
840	7382	83	116	0
841	8188	186	219	0
842	8597	38	70	1
843	1738	64	97	0
844	2731	681	714	0
845	7730	404	437	2
846	1110	216	249	0
847	452	33	65	1
848	7651	86	119	0
849	6118	445	477	1
850	9937	156	189	2
851	5717	601	634	2
852	5034	134	166	1
853	8498	64	97	2
854	8862	470	502	1
855	6280	309	341	1
856	3640	168	201	0
857	502	271	303	1
858	8886	738	771	0
859	9010	523	556	2
860	1275	186	219	2
861	4810	49	82	0
862	4469	109	142	2
863	9242	192	225	0
864	2699	93	126	2
865	5539	317	349	1
866	3264	55	88	0
867	4101	342	375	2
868	9179	316	348	1
869	3133	160	193	2
870	8644	849	881	1
871	6184	162	195	2
872	9995	15	48	0
873	12	83	116	0
874	5255	68	100	1
875	6384	428	461	2
876	750	201	233	1
877	7261	717	750	2
878	24	96	129	0
879	577	18	51	2
880	2491	329	361	1
881	6407	337	370	0
882	8281	216	249	0
883	4166	439	471	1
884	7988	31	64	0
885	6865	151	183	1
886	5580	266	299	0
887	7500	23	56	2
888	447	89	122	0
889	6356	110	143	0
890	327	555	587	1
891	9371	549	581	1
892	6812	127	160	2
893	1622	223	256	2
894	5553	258	291	0
895	831	832	865	0
896	3049	661	693	1
897	7073	628	660	1
898	1829	237	270	0
899	9208	224	257	2
900	7065	585	617	1
901	7922	690	723	2
902	6989	159	192	0
903	6457	35	67	1
904	3491	109	141	1
905	4996	228	260	1
906	3954	562	595	2
907	216	221	254	2
908	9863	250	283	2
909	4902	292	325	2
910	717	21	53	1
911	8050	8	41	2
912	2195	473	506	0
913	3008	114	147	2
914	6686	261	294	2
915	7755	228	261	2
916	9648	614	647	2
917	5407	84	117	0
918	5444	622	655	2
919	3335	360	392	1
920	2184	211	243	1
921	2820	857	889	1
922	9171	333	366	2
923	9798	249	281	1
924	6511	494	526	1
925	2527	442	475	0
926	1171	284	317	2
927	4836	49	82	0
928	9612	921	953	1
929	4561	642	675	2
930	6223	99	132	2
931	3084	485	518	2
932	997	35	67	1
933	7086	310	342	1
934	5469	314	346	1
935	5981	75	108	2
936	7839	104	136	1
937	4066	661	694	2
938	722	651	684	2
939	6622	583	616	0
940	4694	648	681	2
941	3774	69	102	2
942	8191	7	39	1
943	329	378	411	2
944	3124	563	595	1
945	4253	74	107	2
946	7751	19	52	0
947	2151	258	290	1
948	2611	479	512	0
949	729	229	262	2
950	1705	765	798	0
951	4784	465	498	0
952	2390	425	458	0
953	8230	279	311	1
954	2372	150	182	1
955	7927	68	101	0
956	1634	263	296	2
957	4992	657	690	2
958	3658	2	35	0
959	9793	79	112	2
960	1729	209	242	0
961	3950	294	327	2
962	5002	123	156	2
963	2360	6	39	2
964	7227	330	363	2
965	3800	4	37	2
966	5195	32	65	2
967	9407	56	88	1
968	6190	64	97	0
969	1208	550	582	1
970	6628	229	261	1
971	7433	8	40	1
972	9558	174	206	1
973	1571	74	106	1
974	980	594	627	2
975	1596	506	538	1
976	7445	348	381	2
977	8516	379	411	1
978	4207	6	39	2
979	488	594	627	2
980	9364	353	386	2
981	581	28	61	0
982	7846	30	63	0
983	2405	61	94	2
984	6620	296	329	0
985	4465	328	361	0
986	4834	776	808	1
987	3314	575	607	1
988	6396	126	159	2
989	9884	58	90	1
990	1790	92	124	1
991	1932	601	634	2
992	5444	533	566	0
993	2871	136	168	1
994	5388	215	248	0
995	5560	68	100	1
996	1932	172	204	1
997	9324	527	560	2
998	1871	745	778	0
999	791	82	114	1
