id,Completed,Last_page_seen,Start_language,devel-exp-langs_[C],devel-exp-langs_[CXX],devel-exp-langs_[CS],devel-exp-langs_[JAVA],othertools,seqan-exp,install-difficulty_[all],install-difficulty_[svn],install-difficulty_[cmake],install-difficulty_[ide],install-good,install-bad,techniques-before_[stl],techniques-before_[meta],techniques-before_[sub],techniques-before_[glbl],techniques-after_[stl],techniques-after_[meta],techniques-after_[sub],techniques-after_[glbl],tutorials_[1],tutorials_[2],tutorials_[3],tutorials_[4],tutorials_[5],tutorials_[6],tutorials_[7],tutorials_[8],tutorials_[9],tutorials_[10],tutorials_[11],tutorials_[12],tutorials_[13],tutorials_[14],tut-preknowledge_[1],tut-preknowledge_[2],tut-preknowledge_[3],tut-preknowledge_[4],tut-preknowledge_[5],tut-preknowledge_[6],tut-preknowledge_[7],tut-preknowledge_[8],tut-preknowledge_[9],tut-preknowledge_[10],tut-preknowledge_[11],tut-preknowledge_[12],tut-preknowledge_[13],tut-preknowledge_[14],tut-usefulness_[1],tut-usefulness_[2],tut-usefulness_[3],tut-usefulness_[4],tut-usefulness_[5],tut-usefulness_[6],tut-usefulness_[7],tut-usefulness_[8],tut-usefulness_[9],tut-usefulness_[10],tut-usefulness_[11],tut-usefulness_[12],tut-usefulness_[13],tut-usefulness_[14],tut-withouthelp_[1],tut-withouthelp_[2],tut-withouthelp_[3],tut-withouthelp_[4],tut-withouthelp_[5],tut-withouthelp_[6],tut-withouthelp_[7],tut-withouthelp_[8],tut-withouthelp_[9],tut-withouthelp_[10],tut-withouthelp_[11],tut-withouthelp_[12],tut-withouthelp_[13],tut-withouthelp_[14],tut-docs_[1],tut-docs_[2],tut-docs_[3],tut-docs_[4],tut-docs_[5],tut-docs_[6],tut-docs_[7],tut-docs_[8],tut-docs_[9],tut-docs_[10],tut-docs_[11],tut-docs_[12],tut-docs_[13],tut-docs_[14],tut-like_[1_good],tut-like_[1_bad],tut-like_[2_good],tut-like_[2_bad],tut-like_[3_good],tut-like_[3_bad],tut-like_[4_good],tut-like_[4_bad],tut-like_[5_good],tut-like_[5_bad],tut-like_[6_good],tut-like_[6_bad],tut-like_[7_good],tut-like_[7_bad],tut-like_[8_good],tut-like_[8_bad],tut-like_[9_good],tut-like_[9_bad],tut-like_[10_good],tut-like_[10_bad],tut-like_[11_good],tut-like_[11_bad],tut-like_[12_good],tut-like_[12_bad],tut-like_[13_good],tut-like_[13_bad],tut-like_[14_good],tut-like_[14_bad],seqan-good,seqan-bad,workshop-like,workshop-orga,workshop-team,workshop-time,workshop-expectation,seqan-future,seqan-future_[comment],studies,studies-finished,Token

11,2011-09-14 09:30:41,5,en,Advanced: average experience,Advanced: average experience,No experience,Beginner: few experience,"CPLEX, Lemon, LEDA",I never worked with SeqAn.,Easy,Easy,Average,Easy,That it worked. ,It has been a bit cumbersome to open the first project. But this is minor.,"Basic skills, few experience",Unknown technique,Unknown technique,Unknown technique,"Basic skills, few experience","Basic skills, few experience","Basic skills, few experience","Basic skills, few experience",Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No experience,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Average,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Assignments + solutions help,"Some topics are not motivated well enough (eg, memory allocation)  ",,,,,,,,,,,,,,,,,,,,,,,,,,,Many algorithms seem to be implemented.,"A lot of effort is required to get started (new, strange concepts, code not readable anymore, ...)",Good,Very good,Above averagely helpful,Good,"I expected to get a feeling about what Seqan and Knime are. This expectation was met. In addition, I had a lot of interesting discussions about different topics.",Yes,"I will likely give it a try. Maybe it will not work, because of the difficulties to use it. For beginners it is too hard to learn, whereas experts, which may believe in different design strategies, may not want to adapt to the SeQan concepts.  ",Computer Science,PhD,hyk6

12,2011-09-14 09:38:37,5,en,Beginner: few experience,Expert: regular and correct use of language specific paradigms,No experience,No experience,"boost, vigra",I know something about SeqAn but hardly worked with it.,Average,Very easy,Very easy,Difficult,"Entspricht der ""Standard"" Installationsprozedur: cmake; make; make install;","Es gab kleinere Probleme mit Visual Studio, möglicherweise aber durch mangelnde Visual Studio-Kenntnisse verursacht.",Much experience,Ordinary experience,Much experience,"Basic skills, few experience",Much experience,Ordinary experience,Much experience,Ordinary experience,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Ordinary experience,Much experience,Ordinary experience,Much experience,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,Yes,No,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,Yes,Yes,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Average,Average,Average,Average,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,gut fürs allgemeine Verständnis,,Viele Übungsaufgaben,,,keine Übungsaufgaben,,könnte länger sein,,,,,,,,,,,,,,,,,,,,,"Schönes Konzept, Templates, sehr umfangreich, einigermaßen gut dokumentiert","Vergewaltigung der OO-Programmierung ;-) Es ist schwer herauszufinden, was Seqan alles kann, also welche Funktion man braucht um etwas bestimmtes zu machen. In der Dokumentation wären Minimalbeispiele sehr hilfreich und eventuell noch eine Liste mit verwandten Funktionen.",Very good,Very good,Above averagely helpful,Good,"In so kurzer Zeit wurde ziemlich viel erreicht, hätte ich nicht erwartet. Das Seqan-Tutorial hätte etwas strukturierter ablaufen können, also z.B. erst eine Einführende Übung gemeinsam machen, dann jeder für sich, damit man mit der Arbeitsweise (Metafunktionen, wo ist die Hilfefunktion, etc.) schneller vertraut wird.",Yes,"Der Vorteil gegenüber anderen standalone-Tools: Seqan ist eine echte Library, und somit kann man an den Schnittstellen zwischen verschiedenen Arbeitsschritten viel Zeit sparen.",Physik,Diplom,pu7b

13,2011-09-14 09:37:23,5,en,Beginner: few experience,Expert: regular and correct use of language specific paradigms,No experience,Advanced: average experience,,I develop my own SeqAn apps / command line programs.,Average,Very easy,Easy,Difficult,CMake worked fine.,Getting MinGW running unfortunatly wasn't that easy.,Ordinary experience,"Basic skills, few experience",Ordinary experience,Much experience,Ordinary experience,Ordinary experience,Ordinary experience,Much experience,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Ordinary experience,Ordinary experience,"Basic skills, few experience","Basic skills, few experience",Much experience,No experience,Much experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Average,Average,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Average,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missing links to tutorial in the documentation.,Good,Good,Above averagely helpful,Good,,Yes,,Computer Science,Diplom,chyw

14,2011-09-14 09:38:25,5,en,No experience,Beginner: few experience,No experience,Expert: regular and correct use of language specific paradigms,SAMTools,I know something about SeqAn but hardly worked with it.,Average,Easy,Average,Difficult,"download the repository was very easy, also with eclipse >> well documented",">> cmake was a little more tricky, in particular, if you have cmake over cygwin >> exclude this from integration path first and then install cmake seperately >> run first script gave error >> not discribed in tutorial that python is also neccessary to use >> rene updated that >> all in all, it took to long and without help i would note be able to run a first script","Basic skills, few experience",Unknown technique,Unknown technique,Unknown technique,Ordinary experience,Unknown technique,"Basic skills, few experience",Unknown technique,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"Basic skills, few experience",No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,Yes,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Above average,Above average,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Templates for String,Iterator structure hard to learn,,,,,,,,,,,,,,,,,,,,,,,,,,,Tutorials well documented,getting started on a more advanced topic takes a while >> installation part took to long (eclipse),Good,Good,Above averagely helpful,Good,">> getting to know seqans libraries >> getting started as a no-user before (just some standalone programs like RazerS, SplazerS)",Yes,although it will take me some time to learn,Biosystemtechnik / Bioinformatik,Bachelor,5jcp

15,2011-09-14 09:40:25,5,de,Beginner: few experience,Beginner: few experience,No experience,Expert: regular and correct use of language specific paradigms,boost,I know something about SeqAn but hardly worked with it.,Easy,Very easy,Easy,Easy,sehr einfaches Herunterladen,,Ordinary experience,Ordinary experience,Ordinary experience,Ordinary experience,Ordinary experience,Ordinary experience,Ordinary experience,Ordinary experience,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Much experience,Much experience,Much experience,Much experience,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,Yes,Yes,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,Yes,Yes,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Average,Above average,Average,Above average,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,lots of explanation,allocator task,"nice step by step structure, lots of explanation",,good examples,,good examples and explanations,,,,,,,,,,,,,,,,,,,,,,often nice and elegant ways to solve a problem when using the stuff already implemented (e.g easy way to perform and compare different alignments),"sometimes first confusing, especially with the templates that make the expressions very long",Very good,Good,Extraordinarily helpful,Too short,"etwas vertraut werden mit seqan, einen Eindruck von der Struktur und den Möglichkeiten bekommen, Erwartungen wurden erfüllt",Yes,vielleicht eine Tutorial session mehr um sich besser mit seqan vertraut zu machen,Biomathematics,Diplom,y3c5

16,2011-09-14 09:30:09,5,en,Expert: regular and correct use of language specific paradigms,Expert: regular and correct use of language specific paradigms,Beginner: few experience,Advanced: average experience,"Lemon, LEDA, ",I never worked with SeqAn.,Easy,Very easy,Very easy,Easy,,,Much experience,Unknown technique,Unknown technique,Ordinary experience,Much experience,"Basic skills, few experience",Unknown technique,Ordinary experience,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Much experience,Much experience,Much experience,Ordinary experience,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,"Basic skills, few experience",NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,Yes,Yes,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,Yes,Yes,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Above average,Average,Above average,Above average,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Average,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,Very good,Above averagely helpful,Too short,"I wanted to get some first insight into the algorithms in SeqAn to check the possibility of GPU parallelization. However, although the tutorial was very helpful, I couldn't get that far.",Yes,"I will use SeqAn in the future, and I'd like to contribute some parallel versions of already implemented algorithms.",Computer Science,PhD,dn4j

17,2011-09-14 09:27:21,5,en,Advanced: average experience,Expert: regular and correct use of language specific paradigms,No experience,"Guru: (highly) specific language skills, problem solving within the meaning of standard libraries",,I develop my own software by using SeqAn as a library.,Easy,Easy,Easy,Very difficult,I like cmake,I didnt get it to work with eclipse properly. Some more help would be nice,Much experience,Ordinary experience,Ordinary experience,Ordinary experience,Much experience,Ordinary experience,Ordinary experience,Ordinary experience,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Many helpful and nicely implemented algorithms,Template madness makes it harder to use,Good,Very good,Averagely helpful,Good,Yes,Yes,,Computer Science,PhD,zymx

18,,5,en,Beginner: few experience,Beginner: few experience,No experience,Advanced: average experience,none at the momemt,I never worked with SeqAn.,Easy,Very easy,Easy,Easy,there's a lot of instruction for different systems/IDEs and that al the plattforms are usuable and supported,"wasn't clear in the beginning that there is introdution for my IDE, so i tried to addaped the linux intro. Maybe the content of the intro page should be better/bigger outlined.","Basic skills, few experience",Unknown technique,"Basic skills, few experience",Unknown technique,"Basic skills, few experience","Basic skills, few experience","Basic skills, few experience",Ordinary experience,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No experience,Yes,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,No,No,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Average,Above average,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,"in generell, i like that there are real tasks instead of just copying and testing code",but tasks were sometimes harder to understand than there actually were to do,,,,,,,,,,,,,,,,,,,,,,,,,,,"that i can do one thing in different ways, that i can improve the code depending on the data (e.g. the diff ways to store a string)","there's a lot of functionality, but it's often a mess to use it with the templates. I'm not in to it, but if possible it might be easier for some users if the templates work under the hood, but functionality is provide with somehow normal functions/classes. That would give more a library feeling.",Good,,Above averagely helpful,Too short,expect more supervision during tutorials e.g. some examples in front or like eexplenation and tasks in change.,Yes,"if i get the chance to use c++ e.g. in my master thesis, seqan will be my first choice",Bioinformatics,Bachelor,dqry

19,2011-09-14 09:34:46,5,en,Beginner: few experience,Advanced: average experience,No experience,Beginner: few experience,Biopython,I develop my own SeqAn apps / command line programs.,Very easy,Very easy,Difficult,Very easy,,I did not understand the concept behind the directory structre,Ordinary experience,Ordinary experience,Ordinary experience,Much experience,Ordinary experience,Ordinary experience,Ordinary experience,Much experience,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Ordinary experience,Much experience,Ordinary experience,"Basic skills, few experience","Basic skills, few experience",No experience,Much experience,"Basic skills, few experience",No experience,No experience,No experience,No experience,No experience,No experience,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,Yes,NOT WORKED ON TUTORIAL,Yes,NOT WORKED ON TUTORIAL,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,NOT WORKED ON TUTORIAL,Yes,Yes,NOT WORKED ON TUTORIAL,Yes,NOT WORKED ON TUTORIAL,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Above average,NOT WORKED ON TUTORIAL,Average,Average,NOT WORKED ON TUTORIAL,Average,NOT WORKED ON TUTORIAL,Extraordinary,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generic concept ,documentation,Good,Average,Above averagely helpful,Too short,"Introduction into new SeqAn parts, which was done.",Yes,"Depending on my futre tasks I am not sure if the speed advantage is worth the work, bt I will keep SeqAn in mind.",Bioinformatics at FU Berlin,Bachelor,nqt6

20,2011-09-14 09:33:05,5,de,Advanced: average experience,Expert: regular and correct use of language specific paradigms,No experience,Expert: regular and correct use of language specific paradigms,"Boost, STL",I develop my own SeqAn apps / command line programs.,Average,Easy,Average,Easy,,,Much experience,Much experience,Much experience,Much experience,Much experience,Much experience,Much experience,Extraordinary experience,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,No experience,No experience,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,No experience,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Yes,Yes,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,No,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Above average,Average,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,Hardly,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,NOT WORKED ON TUTORIAL,,,,,,,"viele Beispiele, fuer globales und Lokales Alignment","Initialisierung des Score Objektes sollte im Alignment-Tutorial explizit gezeigt werden, anstatt nur auf die Dokumentation zu verweisen. Denn nur wenn man auf Konstruktor klickt, sieht man wie die Initialisierung funktionniert, was sehr viel Verstaendnis von SeqAn vorraussetzt.",gute praxisnahe Beispiele,,,,,,,,,Dokumentation war nicht up-to-date,,,,,,,,,,,extrem vielfaeltiges Angebot an nutzlichen Datenstrukturen und Algorithmen der Bioinformatik.,,Very good,Very good,Extraordinarily helpful,Good,Mehr ueber Bereiche der Bibliothek zu lernen die ich vorher nicht benutzt hatte. Ueber die neuen Funktionen von SeqAn imformiert zu werden.,Yes,,Bioinformatik,Dr. rer. nat.,mw5v
